Category,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,Support
antelope,9,62,51,5278,0.1268,0.15,0.1374,0.15,60
badger,8,41,52,5299,0.1633,0.1333,0.1468,0.1333,60
bat,11,64,49,5276,0.1467,0.1833,0.163,0.1833,60
bear,8,52,52,5288,0.1333,0.1333,0.1333,0.1333,60
bee,8,46,52,5294,0.1481,0.1333,0.1404,0.1333,60
beetle,7,47,53,5293,0.1296,0.1167,0.1228,0.1167,60
bison,8,42,52,5298,0.16,0.1333,0.1455,0.1333,60
boar,7,67,53,5273,0.0946,0.1167,0.1045,0.1167,60
butterfly,6,33,54,5307,0.1538,0.1,0.1212,0.1,60
cat,8,36,52,5304,0.1818,0.1333,0.1538,0.1333,60
caterpillar,13,58,47,5282,0.1831,0.2167,0.1985,0.2167,60
chimpanzee,6,36,54,5304,0.1429,0.1,0.1176,0.1,60
cockroach,9,36,51,5304,0.2,0.15,0.1714,0.15,60
cow,8,51,52,5289,0.1356,0.1333,0.1345,0.1333,60
coyote,8,64,52,5276,0.1111,0.1333,0.1212,0.1333,60
crab,7,43,53,5297,0.14,0.1167,0.1273,0.1167,60
crow,6,52,54,5288,0.1034,0.1,0.1017,0.1,60
deer,8,69,52,5271,0.1039,0.1333,0.1168,0.1333,60
dog,8,59,52,5281,0.1194,0.1333,0.126,0.1333,60
dolphin,13,31,47,5309,0.2955,0.2167,0.25,0.2167,60
donkey,8,82,52,5258,0.0889,0.1333,0.1067,0.1333,60
dragonfly,9,39,51,5301,0.1875,0.15,0.1667,0.15,60
duck,8,57,52,5283,0.1231,0.1333,0.128,0.1333,60
eagle,10,33,50,5307,0.2326,0.1667,0.1942,0.1667,60
elephant,10,21,50,5319,0.3226,0.1667,0.2198,0.1667,60
flamingo,8,30,52,5310,0.2105,0.1333,0.1633,0.1333,60
fly,8,47,52,5293,0.1455,0.1333,0.1391,0.1333,60
fox,6,99,54,5241,0.0571,0.1,0.0727,0.1,60
goat,8,96,52,5244,0.0769,0.1333,0.0976,0.1333,60
goldfish,9,41,51,5299,0.18,0.15,0.1636,0.15,60
goose,6,40,54,5300,0.1304,0.1,0.1132,0.1,60
gorilla,8,100,52,5240,0.0741,0.1333,0.0952,0.1333,60
grasshopper,8,47,52,5293,0.1455,0.1333,0.1391,0.1333,60
hamster,7,63,53,5277,0.1,0.1167,0.1077,0.1167,60
hare,8,34,52,5306,0.1905,0.1333,0.1569,0.1333,60
hedgehog,7,21,53,5319,0.25,0.1167,0.1591,0.1167,60
hippopotamus,8,76,52,5264,0.0952,0.1333,0.1111,0.1333,60
hornbill,7,92,53,5248,0.0707,0.1167,0.0881,0.1167,60
horse,7,26,53,5314,0.2121,0.1167,0.1505,0.1167,60
hummingbird,12,32,48,5308,0.2727,0.2,0.2308,0.2,60
hyena,10,77,50,5263,0.1149,0.1667,0.1361,0.1667,60
jellyfish,9,29,51,5311,0.2368,0.15,0.1837,0.15,60
kangaroo,7,74,53,5266,0.0864,0.1167,0.0993,0.1167,60
koala,6,92,54,5248,0.0612,0.1,0.0759,0.1,60
ladybugs,10,52,50,5288,0.1613,0.1667,0.1639,0.1667,60
leopard,8,57,52,5283,0.1231,0.1333,0.128,0.1333,60
lion,7,45,53,5295,0.1346,0.1167,0.125,0.1167,60
lizard,7,57,53,5283,0.1094,0.1167,0.1129,0.1167,60
lobster,9,31,51,5309,0.225,0.15,0.18,0.15,60
mosquito,12,23,48,5317,0.3429,0.2,0.2526,0.2,60
moth,6,59,54,5281,0.0923,0.1,0.096,0.1,60
mouse,10,63,50,5277,0.137,0.1667,0.1504,0.1667,60
octopus,7,59,53,5281,0.1061,0.1167,0.1111,0.1167,60
okapi,8,57,52,5283,0.1231,0.1333,0.128,0.1333,60
orangutan,10,89,50,5251,0.101,0.1667,0.1258,0.1667,60
otter,9,51,51,5289,0.15,0.15,0.15,0.15,60
owl,7,71,53,5269,0.0897,0.1167,0.1014,0.1167,60
ox,6,19,54,5321,0.24,0.1,0.1412,0.1,60
oyster,8,65,52,5275,0.1096,0.1333,0.1203,0.1333,60
panda,12,56,48,5284,0.1765,0.2,0.1875,0.2,60
parrot,6,41,54,5299,0.1277,0.1,0.1121,0.1,60
pelecaniformes,6,10,54,5330,0.375,0.1,0.1579,0.1,60
penguin,11,21,49,5319,0.3438,0.1833,0.2391,0.1833,60
pig,7,44,53,5296,0.1373,0.1167,0.1261,0.1167,60
pigeon,7,70,53,5270,0.0909,0.1167,0.1022,0.1167,60
porcupine,9,36,51,5304,0.2,0.15,0.1714,0.15,60
possum,10,79,50,5261,0.1124,0.1667,0.1342,0.1667,60
raccoon,7,69,53,5271,0.0921,0.1167,0.1029,0.1167,60
rat,7,44,53,5296,0.1373,0.1167,0.1261,0.1167,60
reindeer,12,45,48,5295,0.2105,0.2,0.2051,0.2,60
rhinoceros,9,56,51,5284,0.1385,0.15,0.144,0.15,60
sandpiper,12,84,48,5256,0.125,0.2,0.1538,0.2,60
seahorse,8,23,52,5317,0.2581,0.1333,0.1758,0.1333,60
seal,7,76,53,5264,0.0843,0.1167,0.0979,0.1167,60
shark,15,25,45,5315,0.375,0.25,0.3,0.25,60
sheep,6,50,54,5290,0.1071,0.1,0.1034,0.1,60
snake,6,71,54,5269,0.0779,0.1,0.0876,0.1,60
sparrow,9,53,51,5287,0.1452,0.15,0.1475,0.15,60
squid,13,32,47,5308,0.2889,0.2167,0.2476,0.2167,60
squirrel,7,41,53,5299,0.1458,0.1167,0.1296,0.1167,60
starfish,6,35,54,5305,0.1463,0.1,0.1188,0.1,60
swan,8,52,52,5288,0.1333,0.1333,0.1333,0.1333,60
tiger,11,60,49,5280,0.1549,0.1833,0.1679,0.1833,60
turkey,9,50,51,5290,0.1525,0.15,0.1513,0.15,60
turtle,12,39,48,5301,0.2353,0.2,0.2162,0.2,60
whale,11,36,49,5304,0.234,0.1833,0.2056,0.1833,60
wolf,9,75,51,5265,0.1071,0.15,0.125,0.15,60
wombat,8,73,52,5267,0.0988,0.1333,0.1135,0.1333,60
woodpecker,8,47,52,5293,0.1455,0.1333,0.1391,0.1333,60
zebra,9,11,51,5329,0.45,0.15,0.225,0.15,60
macro_avg,,,,,0.161,0.1409,0.1452,0.1409,5400
weighted_avg,,,,,0.161,0.1409,0.1452,0.1409,5400
