True Label,antelope,badger,bat,bear,bee,beetle,bison,boar,butterfly,cat,caterpillar,chimpanzee,cockroach,cow,coyote,crab,crow,deer,dog,dolphin,donkey,dragonfly,duck,eagle,elephant,flamingo,fly,fox,goat,goldfish,goose,gorilla,grasshopper,hamster,hare,hedgehog,hippopotamus,hornbill,horse,hummingbird,hyena,jellyfish,kangaroo,koala,ladybugs,leopard,lion,lizard,lobster,mosquito,moth,mouse,octopus,okapi,orangutan,otter,owl,ox,oyster,panda,parrot,pelecaniformes,penguin,pig,pigeon,porcupine,possum,raccoon,rat,reindeer,rhinoceros,sandpiper,seahorse,seal,shark,sheep,snake,sparrow,squid,squirrel,starfish,swan,tiger,turkey,turtle,unknown,whale,wolf,wombat,woodpecker,zebra,Total
antelope,9,0,1,0,1,0,0,2,1,1,1,1,0,0,3,1,1,0,1,0,0,1,2,0,0,0,0,2,2,0,0,0,1,2,1,0,2,0,0,0,2,0,2,1,0,0,3,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,60
badger,0,8,1,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,1,0,4,0,0,1,0,1,3,0,0,2,1,0,1,0,0,2,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,1,2,2,0,1,0,0,2,1,0,0,0,0,0,1,0,60
bat,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,1,0,1,1,0,1,0,3,1,1,0,2,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,1,0,60
bear,0,2,0,8,0,1,1,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,3,0,0,0,1,0,1,0,2,0,1,1,1,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,2,1,2,0,3,0,0,0,0,1,2,0,1,0,0,1,0,2,0,0,0,0,1,1,0,60
bee,0,0,3,1,8,0,1,1,0,1,0,0,2,1,0,0,0,0,1,0,1,3,2,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,3,0,1,0,0,1,0,1,0,2,1,1,0,3,0,1,0,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,60
beetle,0,0,2,0,0,7,0,1,2,1,2,0,1,1,1,1,1,0,1,0,0,2,3,0,0,0,2,2,4,1,0,0,1,1,0,0,2,2,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60
bison,0,0,1,0,0,0,8,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,2,1,1,0,2,0,0,1,1,0,2,1,5,2,0,0,0,0,1,1,2,1,0,2,0,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,60
boar,0,0,0,3,0,1,0,7,0,0,0,0,0,2,0,0,1,1,1,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,3,2,0,1,0,0,0,1,0,0,1,0,0,2,0,2,1,1,1,2,0,0,1,0,0,1,0,1,1,1,2,0,0,1,0,0,0,0,1,4,0,0,0,1,0,0,3,0,0,0,0,2,0,0,60
butterfly,0,0,0,2,1,3,0,0,6,0,4,0,3,0,0,0,1,1,1,0,1,2,0,0,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,2,1,0,1,3,1,1,4,0,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,60
cat,0,0,1,0,2,1,0,1,0,8,0,0,1,2,0,0,0,2,1,0,1,0,2,1,0,0,2,0,0,0,1,1,0,1,1,0,0,1,1,2,2,0,2,0,0,0,0,1,0,1,2,0,1,0,1,0,1,0,1,0,1,0,0,3,1,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,60
