True Label,Predicted As,Count,Example 1,Example 2,Example 3,All Files
shark,turtle,9,shark_11.jpg,shark_18.jpg,shark_29.jpg,"shark_11.jpg, shark_18.jpg, shark_29.jpg, shark_37.jpg, shark_39.jpg, shark_48.jpg, shark_51.jpg, shark_52.jpg, shark_56.jpg"
shark,whale,8,shark_2.jpg,shark_27.jpg,shark_31.jpg,"shark_2.jpg, shark_27.jpg, shark_31.jpg, shark_38.jpg, shark_4.jpg, shark_44.jpg, shark_49.jpg, shark_59.jpg"
jellyfish,turtle,8,jellyfish_14.jpg,jellyfish_22.jpg,jellyfish_39.jpg,"jellyfish_14.jpg, jellyfish_22.jpg, jellyfish_39.jpg, jellyfish_50.jpg, jellyfish_51.jpg, jellyfish_52.jpg, jellyfish_58.jpg, jellyfish_59.jpg"
shark,dolphin,8,shark_21.jpg,shark_25.jpg,shark_36.jpg,"shark_21.jpg, shark_25.jpg, shark_36.jpg, shark_42.jpg, shark_46.jpg, shark_47.jpg, shark_54.jpg, shark_55.jpg"
mosquito,grasshopper,7,mosquito_1.jpg,mosquito_13.jpg,mosquito_33.jpg,"mosquito_1.jpg, mosquito_13.jpg, mosquito_33.jpg, mosquito_40.jpg, mosquito_52.jpg, mosquito_55.jpg, mosquito_7.jpg"
dragonfly,caterpillar,7,dragonfly_16.jpg,dragonfly_2.jpg,dragonfly_20.jpg,"dragonfly_16.jpg, dragonfly_2.jpg, dragonfly_20.jpg, dragonfly_31.jpg, dragonfly_40.jpg, dragonfly_48.jpg, dragonfly_60.jpg"
okapi,gorilla,7,okapi_10.jpg,okapi_27.jpg,okapi_37.jpg,"okapi_10.jpg, okapi_27.jpg, okapi_37.jpg, okapi_45.jpg, okapi_47.jpg, okapi_50.jpg, okapi_59.jpg"
jellyfish,bat,6,jellyfish_21.jpg,jellyfish_37.jpg,jellyfish_49.jpg,"jellyfish_21.jpg, jellyfish_37.jpg, jellyfish_49.jpg, jellyfish_54.jpg, jellyfish_6.jpg, jellyfish_8.jpg"
hyena,snake,6,hyena_20.jpg,hyena_25.jpg,hyena_32.jpg,"hyena_20.jpg, hyena_25.jpg, hyena_32.jpg, hyena_40.jpg, hyena_5.jpg, hyena_7.jpg"
turtle,shark,6,turtle_15.jpg,turtle_3.jpg,turtle_36.jpg,"turtle_15.jpg, turtle_3.jpg, turtle_36.jpg, turtle_44.jpg, turtle_49.jpg, turtle_5.jpg"
cockroach,pigeon,6,cockroach_11.jpg,cockroach_16.jpg,cockroach_23.jpg,"cockroach_11.jpg, cockroach_16.jpg, cockroach_23.jpg, cockroach_25.jpg, cockroach_53.jpg, cockroach_58.jpg"
dolphin,whale,5,dolphin_22.jpg,dolphin_23.jpg,dolphin_4.jpg,"dolphin_22.jpg, dolphin_23.jpg, dolphin_4.jpg, dolphin_49.jpg, dolphin_7.jpg"
caterpillar,hamster,5,caterpillar_18.jpg,caterpillar_41.jpg,caterpillar_46.jpg,"caterpillar_18.jpg, caterpillar_41.jpg, caterpillar_46.jpg, caterpillar_6.jpg, caterpillar_60.jpg"
orangutan,gorilla,5,orangutan_14.jpg,orangutan_29.jpg,orangutan_46.jpg,"orangutan_14.jpg, orangutan_29.jpg, orangutan_46.jpg, orangutan_51.jpg, orangutan_59.jpg"
sheep,fox,5,sheep_11.jpg,sheep_12.jpg,sheep_14.jpg,"sheep_11.jpg, sheep_12.jpg, sheep_14.jpg, sheep_33.jpg, sheep_41.jpg"
hummingbird,grasshopper,5,hummingbird_12.jpg,hummingbird_16.jpg,hummingbird_28.jpg,"hummingbird_12.jpg, hummingbird_16.jpg, hummingbird_28.jpg, hummingbird_3.jpg, hummingbird_9.jpg"
lion,boar,5,lion_2.jpg,lion_22.jpg,lion_27.jpg,"lion_2.jpg, lion_22.jpg, lion_27.jpg, lion_31.jpg, lion_4.jpg"
hare,hyena,5,hare_10.jpg,hare_42.jpg,hare_48.jpg,"hare_10.jpg, hare_42.jpg, hare_48.jpg, hare_52.jpg, hare_54.jpg"
otter,koala,5,otter_17.jpg,otter_26.jpg,otter_38.jpg,"otter_17.jpg, otter_26.jpg, otter_38.jpg, otter_39.jpg, otter_46.jpg"
hummingbird,goat,5,hummingbird_23.jpg,hummingbird_27.jpg,hummingbird_30.jpg,"hummingbird_23.jpg, hummingbird_27.jpg, hummingbird_30.jpg, hummingbird_56.jpg, hummingbird_8.jpg"
